image_name, comment_number, comment
104824673.jpg, 0, An African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance .
104824673.jpg, 1, An African native gazes into the camera donning a hat of two corn cobs and necklaces of shells and beads .
104824673.jpg, 2, A member of an African tribe is watching the camera intently in tribal dress .
104824673.jpg, 3," An African woman with piercings , lots of necklaces and corn on her head ."
104824673.jpg, 4, A person is wearing a lot of jewelry with corn on his or her head .
133868556.jpg, 0, This picture is of a young girl practicing gymnastics in a gym .
133868556.jpg, 1, A gymnast is capture midair while vaulting over several steps .
133868556.jpg, 2, A woman is in the midst of vaulting over an object in a gym .
133868556.jpg, 3, A woman is doing gymnastics in a large building .
133868556.jpg, 4, Woman vaulting over a vaulting horse .
1549878731.jpg, 0, A child lies on the ground near a ball in front of a parked car the leads a line of parked cars on the shoulder of a road .
1549878731.jpg, 1, A boy laying in front of a parked car staring at an orange soccer ball .
1549878731.jpg, 2, A boy in camouflage pants and his ball lying in front of a blue car .
1549878731.jpg, 3, A boy lays down with an orange ball in front of a row of blue cars .
1549878731.jpg, 4, A little boy wearing camouflage pants laying in front of a car .
155515294.jpg, 0, A man is shaving his face in the mirror while a girl stands behind him and takes a picture .
155515294.jpg, 1, A man is looking into the mirror and shaving while a woman is taking a picture of him .
155515294.jpg, 2," A young man shaves his face , while a girl behind him takes a picture in the mirror ."
155515294.jpg, 3, A girl taking a picture of a boy shaving in the mirror .
155515294.jpg, 4, A man shaves as his girlfriend takes a picture .
182396080.jpg, 0," Some sort of outdoor event with a clown wearing a name tag that says "" Toodles "" ."
182396080.jpg, 1, Clown standing across the street from a large group of people .
182396080.jpg, 2, A clown standing in front of a crowd along a street .
182396080.jpg, 3, This clown is proud to be entertaining the crowd .
182396080.jpg, 4, A clown is smiling for a picture during a parade .
2114931518.jpg, 0," An Asian man in a yellow shirt and wearing glasses is seated on a platform , holding a string of beads in his hand ."
2114931518.jpg, 1, An older man wearing a yellow top and glasses sitting on a multicolored throne .
2114931518.jpg, 2, An old man wearing glasses is praying with his beads while sitting down .
2114931518.jpg, 3, An old Buddhist monk wearing glasses is praying with beads in his hand .
2114931518.jpg, 4, an old man in a yellow shirt prays
2157173498.jpg, 0, A snowboarder flying off a snow drift with a colorful sky in the background .
2157173498.jpg, 1, A person in a black jacket is snowboarding during the evening .
2157173498.jpg, 2, A silhouette of a person snowboarding through a pile of snow .
2157173498.jpg, 3, A man is snowboarding and jumping off of a snow hill .
2157173498.jpg, 4, The person in the parka is on a snowboard .
2358561039.jpg, 0," The dogs are pulling a man on a type of bike , through the snow ."
2358561039.jpg, 1, a froup of sled dogs pulling a man wearing an orange vest .
2358561039.jpg, 2, Three dogs pulling a man on a bicycle through the snow .
2358561039.jpg, 3, A three dog sled team pulls an unusual tricycle sled .
2358561039.jpg, 4, Several dogs carry a man with a helmet through snow .
241345811.jpg, 0, There is a football player in a red jersey on the field talking to his coach .
241345811.jpg, 1," Coach talks with football player , other players and crowd in background ."
241345811.jpg, 2, A football player in red and white is talking to a coach .
241345811.jpg, 3, A coach talks to a football player during a timeout .
241345811.jpg, 4, A football coach speaks with a player .
2451253577.jpg, 0," A man pulls a rope that is attached to a floating boat marked "" Avocet Market Drayton "" ."
2451253577.jpg, 1, A man dressed in blue pulling on a rope that 's attached to a boat .
2451253577.jpg, 2, A man pulling a houseboat up to the shore with a rope .
2451253577.jpg, 3, A man in a jumpsuit and a headband is docking a boat .
2451253577.jpg, 4, A man is working outdoors trying to do his job .
